text,completed
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
Buy groceries,true
Finish report,false
Call John,true
Go for a run,false
Read a book,true
Buy groceries,false
Finish report,true
Go for a run,false
Call John,true
Read a book,false
